   RS iter        Gamma        Alpha          RSS 
         1       0.7369       0.9061       0.0074 
         2       1.4928       0.0729       0.0077 
         3       0.0002       0.6604       0.0072 
         4       0.0206       0.4114       0.0072 
         5       0.0315       0.0062       0.0072 
         6       0.0000       0.6062       0.0072 
         7       0.0168       0.2174       0.0072 
         8       0.0178       0.1863       0.0072 
         9       0.0013       0.0317       0.0072 
        10       0.8925       0.6077       0.0074 
        11       0.0563       0.6938       0.0072 
        12       0.4273       0.2982       0.0073 
        13       0.6150       0.4044       0.0073 
        14       0.0065       0.0113       0.0072 
        15       0.0000       0.5142       0.0072 
        16       0.1578       0.6450       0.0072 
        17       0.0134       0.8278       0.0072 
        18       0.0070       0.4201       0.0072 
        19       1.7645       0.5487       0.0079 
        20       0.1138       0.2734       0.0072 
        21       0.0019       0.6545       0.0072 
        22       1.1615       0.0779       0.0075 
        23       0.0255       0.6900       0.0072 
        24       0.0112       0.3280       0.0072 
        25       0.0000       0.4813       0.0072 
        26       0.3512       0.6598       0.0073 
        27       0.0000       0.5071       0.0072 
        28       0.0023       0.2646       0.0072 
        29       0.4082       0.5292       0.0073 
        30       0.0008       0.6321       0.0072 
        31       0.0001       0.7179       0.0072 
        32       0.4915       0.1870       0.0073 
        33       0.0000       0.0887       0.0072 
        34       0.0009       0.8050       0.0072 
        35       0.0095       0.2870       0.0072 
        36       0.0001       0.5865       0.0072 
        37       2.9402       0.0689       0.0090 
        38       0.0004       0.5399       0.0072 
        39       0.6492       0.8980       0.0073 
        40       0.0011       0.4114       0.0072 
        41       0.0014       0.3982       0.0072 
        42       0.0002       0.7629       0.0072 
        43       0.0003       0.8112       0.0072 
        44       0.5287       0.5343       0.0073 
        45       0.0000       0.7866       0.0072 
        46       0.0890       0.9991       0.0072 
        47       0.0001       0.9767       0.0072 
        48       0.0011       0.4834       0.0072 
        49       0.4144       0.1204       0.0073 
        50       0.4105       0.4168       0.0073 
        51       2.9145       0.6355       0.0090 
        52       0.0404       0.5430       0.0072 
        53       0.0004       0.4926       0.0072 
        54       0.0000       0.4523       0.0072 
        55       0.0122       0.6088       0.0072 
        56       0.0557       0.3864       0.0072 
        57       0.4423       0.0182       0.0073 
        58       2.0467       0.4587       0.0081 
        59       1.4364       0.1807       0.0077 
        60       0.0232       0.7095       0.0072 
        61       1.1148       0.2997       0.0075 
        62       0.1257       0.0219       0.0072 
        63       0.0029       0.1246       0.0072 
